989998018;047580009091912;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009026965;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009902720;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009902156;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009901131;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009901109;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009096763;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009096369;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009096040;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009094356;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009094302;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093885;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093756;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093416;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093219;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093156;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093109;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093099;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093068;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009093045;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092800;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092590;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092554;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092468;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092170;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092157;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009092085;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091965;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091819;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091786;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091773;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091764;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091743;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
989998018;047580009091629;KORFAK;Justering pga dekningsfeil godkjent i SalesForce;1 mnd fri MBB;248.73;;;;;TOPE8938 19.06.14;1;TOPE8938;
